dataset	cell	class	ngenes	reads
VASA own, 130 nt	007	multi	4	139247
VASA own, 130 nt	007	multi	5	202840
VASA own, 130 nt	007	multi	6	95481
VASA own, 130 nt	007	multi	7	147486
VASA own, 130 nt	007	multi	8	41427
VASA own, 130 nt	007	multi	9	69519
VASA own, 130 nt	007	multi	10	6103
VASA own, 130 nt	007	multi	11	4686
VASA own, 130 nt	007	multi	12	52196
VASA own, 130 nt	007	multi	13	12598
VASA own, 130 nt	007	multi	14	2067
VASA own, 130 nt	007	multi	15	11990
VASA own, 130 nt	007	multi	16	1128
VASA own, 130 nt	007	multi	17	1548
VASA own, 130 nt	007	multi	18	594
VASA own, 130 nt	007	multi	19	766
VASA own, 130 nt	007	multi	20	1727
VASA own, 130 nt	007	single	1	3460129
VASA own, 130 nt	007	single	2	272001
VASA own, 130 nt	007	single	3	20510
VASA own, 130 nt	007	single	4	2886
VASA own, 130 nt	007	single	5	26
VASA own, 130 nt	007	single	6	17
VASA own, 130 nt	007	single	7	13
VASA own, 130 nt	007	single	8	1
VASA own, 130 nt	007	single	9	3
VASA own, 130 nt	007	single	10	2
VASA own, 130 nt	007	single	11	1
VASA own, 130 nt	007	single	13	2
VASA own, 130 nt	007	single	14	5
VASA own, 130 nt	007	single	15	33
VASA own, 130 nt	007	single	16	18
VASA own, 130 nt	007	single	17	2
VASA own, 130 nt	007	single	18	9
VASA own, 130 nt	007	single	19	10
VASA own, 130 nt	007	single	20	228
VASA own, 130 nt	008	multi	1	135738
VASA own, 130 nt	008	multi	2	484659
VASA own, 130 nt	008	multi	3	164292
VASA own, 130 nt	008	multi	4	81286
VASA own, 130 nt	008	multi	5	97336
VASA own, 130 nt	008	multi	6	51752
VASA own, 130 nt	008	multi	7	60801
VASA own, 130 nt	008	multi	8	24414
VASA own, 130 nt	008	multi	9	37197
VASA own, 130 nt	008	multi	10	3874
VASA own, 130 nt	008	multi	11	3067
VASA own, 130 nt	008	multi	12	38495
VASA own, 130 nt	008	multi	13	7898
VASA own, 130 nt	008	multi	14	1253
VASA own, 130 nt	008	multi	15	10406
VASA own, 130 nt	008	multi	16	754
VASA own, 130 nt	008	multi	17	1324
VASA own, 130 nt	008	multi	18	368
VASA own, 130 nt	008	multi	19	462
VASA own, 130 nt	008	multi	20	1082
VASA own, 130 nt	008	single	1	1919563
VASA own, 130 nt	008	single	2	137130
VASA own, 130 nt	008	single	3	11556
VASA own, 130 nt	008	single	4	1239
VASA own, 130 nt	008	single	5	18
VASA own, 130 nt	008	single	6	5
VASA own, 130 nt	008	single	8	9
VASA own, 130 nt	008	single	9	6
VASA own, 130 nt	008	single	10	4
VASA own, 130 nt	008	single	11	2
VASA own, 130 nt	008	single	12	21
VASA own, 130 nt	008	single	13	4
VASA own, 130 nt	008	single	14	7
VASA own, 130 nt	008	single	15	16
VASA own, 130 nt	008	single	16	7
VASA own, 130 nt	008	single	17	22
VASA own, 130 nt	008	single	18	2
VASA own, 130 nt	008	single	19	4
VASA own, 130 nt	008	single	20	123
VASA own, 130 nt	009	multi	1	156074
VASA own, 130 nt	009	multi	2	460624
VASA own, 130 nt	009	multi	3	235230
VASA own, 130 nt	009	multi	4	105178
VASA own, 130 nt	009	multi	5	143185
VASA own, 130 nt	009	multi	6	55077
VASA own, 130 nt	009	multi	7	101131
VASA own, 130 nt	009	multi	8	25947
VASA own, 130 nt	009	multi	9	38118
VASA own, 130 nt	009	multi	10	5039
VASA own, 130 nt	009	multi	11	3643
VASA own, 130 nt	009	multi	12	27514
VASA own, 130 nt	009	multi	13	6795
VASA own, 130 nt	009	multi	14	1726
VASA own, 130 nt	009	multi	15	8228
VASA own, 130 nt	009	multi	16	1005
VASA own, 130 nt	009	multi	17	1783
