dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
published, mouse wells	300	multi	100551	80631	281379	24873	55758	37074	12623	20	30914	3716	46535
published, mouse wells	300	single	600894	533919	657167	523527	10392	312846	200021	28	21024	10118	12286
published, mouse wells	302	multi	35115	28416	87178	10443	17973	16737	4969	3	6707	1114	8211
published, mouse wells	302	single	231819	210541	254511	207649	2892	118793	84185	8	7555	2930	3532
published, mouse wells	304	multi	8755	4750	20582	1682	3068	2112	816	0	1822	942	6084
published, mouse wells	304	single	32871	17875	22361	17511	364	11912	5185	12	766	5461	6417
published, mouse wells	306	multi	13065	9036	27644	3842	5194	5245	1831	1	1959	859	4248
published, mouse wells	306	single	76908	63580	77192	62693	887	35736	25593	8	2243	4283	5235
published, mouse wells	308	multi	52052	40923	133652	14919	26004	23671	6875	5	10372	1892	19192
published, mouse wells	308	single	343039	311241	379587	306840	4401	180355	118979	8	11899	5948	7217
published, mouse wells	310	multi	54525	42957	141293	15120	27837	23476	6982	2	12497	2309	21923
published, mouse wells	310	single	349949	318643	389953	313809	4834	185292	121326	33	11992	8807	10818
published, mouse wells	311	multi	46071	36808	116172	13581	23227	19794	7032	3	9979	1620	16210
published, mouse wells	311	single	331136	301069	364670	296537	4532	169291	120224	33	11521	4366	5349
published, mouse wells	314	multi	80722	68547	254085	17865	50682	27465	7738	6	33338	2588	39948
published, mouse wells	314	single	417019	375820	464135	367723	8097	218300	142365	16	15139	11020	13356
published, mouse wells	316	multi	12052	9924	30648	3172	6752	6327	1260	0	2337	285	2313
published, mouse wells	316	single	57000	51548	64531	50947	601	36648	13199	1	1700	936	1126
published, mouse wells	318	multi	79691	64354	216665	22885	41469	32931	11418	1	20004	2468	31080
published, mouse wells	318	single	599676	545630	660673	537007	8623	301985	223980	17	19648	8094	9900
published, mouse wells	322	multi	115627	97210	355208	26748	70462	45302	11459	9	40440	4539	62123
published, mouse wells	322	single	673556	604609	738897	593644	10965	345447	236165	85	22912	19607	24170
published, mouse wells	324	multi	21675	17071	53926	6338	10733	9447	3158	1	4465	956	7813
published, mouse wells	324	single	153686	138214	168725	136224	1990	80518	52921	2	4773	2753	3343
published, mouse wells	326	multi	38211	30016	91180	11746	18270	16864	6164	7	6981	1021	9719
published, mouse wells	326	single	264853	237317	286589	233841	3476	131518	97519	10	8270	3099	3791
published, mouse wells	328	multi	40322	21499	67202	9410	12089	11349	4437	4	5709	1645	10980
