dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	37	ProcessedPseudogene	88470	159673
FLASH-seq	multi	37	ProteinCoding	156030	159673
FLASH-seq	multi	37	TEC	1813	159673
FLASH-seq	multi	37	TranscribedProcessedPseudogene	39252	159673
FLASH-seq	multi	37	TranscribedUnitaryPseudogene	982	159673
FLASH-seq	multi	37	TranscribedUnprocessedPseudogene	2123	159673
FLASH-seq	multi	37	UnitaryPseudogene	661	159673
FLASH-seq	multi	37	UnprocessedPseudogene	6582	159673
FLASH-seq	multi	37	lncRNA	95412	159673
FLASH-seq	multi	37	miRNA	2487	159673
FLASH-seq	multi	37	pseudogene	10	159673
FLASH-seq	multi	37	rRNA	165	159673
FLASH-seq	multi	37	scaRNA	2	159673
FLASH-seq	multi	37	snRNA	9	159673
FLASH-seq	multi	37	snoRNA	18	159673
FLASH-seq	multi	37	tRNA	279	159673
FLASH-seq	multi	38	MiscRna	2172	183205
FLASH-seq	multi	38	MtRrna	3	183205
FLASH-seq	multi	38	MtTrna	97	183205
FLASH-seq	multi	38	ProcessedPseudogene	99002	183205
FLASH-seq	multi	38	ProteinCoding	178598	183205
FLASH-seq	multi	38	TEC	2241	183205
FLASH-seq	multi	38	TranscribedProcessedPseudogene	41436	183205
FLASH-seq	multi	38	TranscribedUnitaryPseudogene	1012	183205
FLASH-seq	multi	38	TranscribedUnprocessedPseudogene	3638	183205
FLASH-seq	multi	38	UnitaryPseudogene	851	183205
FLASH-seq	multi	38	UnprocessedPseudogene	8147	183205
FLASH-seq	multi	38	lncRNA	111280	183205
FLASH-seq	multi	38	miRNA	2437	183205
FLASH-seq	multi	38	pseudogene	27	183205
FLASH-seq	multi	38	rRNA	86	183205
FLASH-seq	multi	38	scaRNA	2	183205
FLASH-seq	multi	38	snRNA	24	183205
FLASH-seq	multi	38	snoRNA	34	183205
FLASH-seq	multi	38	tRNA	147	183205
FLASH-seq	multi	39	MiscRna	1893	180742
FLASH-seq	multi	39	MtTrna	214	180742
FLASH-seq	multi	39	ProcessedPseudogene	97178	180742
FLASH-seq	multi	39	ProteinCoding	176239	180742
FLASH-seq	multi	39	TEC	2243	180742
FLASH-seq	multi	39	TranscribedProcessedPseudogene	41182	180742
FLASH-seq	multi	39	TranscribedUnitaryPseudogene	1242	180742
FLASH-seq	multi	39	TranscribedUnprocessedPseudogene	2434	180742
FLASH-seq	multi	39	UnitaryPseudogene	826	180742
FLASH-seq	multi	39	UnprocessedPseudogene	7740	180742
FLASH-seq	multi	39	lncRNA	107689	180742
